postId,inputURL,inputVideoBitrate,codecName
3296233255,https://cdn4.sharechat.com/13551647_1697472518021.mkv,1517325,vp9
3294039651,https://cdn4.sharechat.com/2ce1f0d0_1697296989219.mkv,2869991,vp9
3295212458,https://cdn4.sharechat.com/c90067a_1697386518322.mkv,1082248,vp9
3292681367,https://cdn4.sharechat.com/1ae51d5f_1697188509640.mkv,2590180,vp9
3292509415,https://cdn4.sharechat.com/ae61785_1697177232711.mkv,2356837,vp9
3293339299,https://cdn4.sharechat.com/2898faf5_1697251062221.mkv,1834290,vp9
3292683437,https://cdn4.sharechat.com/8fcbbaa_1697188647244.mkv,2361809,vp9
3294256808,https://cdn4.sharechat.com/e7243f2_1697327378241.mkv,1060771,vp9
3292797890,https://cdn4.sharechat.com/2007d196_1697196535790.mkv,3535902,vp9
3295690386,https://cdn4.sharechat.com/f8171b6_1697436866696.mkv,1316885,vp9
3292418857,https://cdn4.sharechat.com/5b09c5_1697171382872.mkv,2821154,vp9
3292680495,https://cdn4.sharechat.com/1f53246d_1697188454274.mkv,1360274,vp9
3293531911,https://cdn4.sharechat.com/302a3048_1697263364273.mkv,1112376,vp9
3296649333,https://cdn4.sharechat.com/1ec829e4_1697520452995.mkv,3447144,vp9
3295950825,https://cdn4.sharechat.com/25a04bcb_1697454271819.mkv,6244720,vp9
3294368205,https://cdn4.sharechat.com/1334ef30_1697337893826.mkv,1734457,vp9
3297451121,https://cdn4.sharechat.com/e492c08_1697592930757.mkv,1255075,vp9
3293466782,https://cdn4.sharechat.com/3746d66e_1697259384575.mkv,1834290,vp9
3296088095,https://cdn4.sharechat.com/6fb2b3a_1697463453870.mkv,2124760,vp9
3297129331,https://cdn4.sharechat.com/37965925_1697552121901.mkv,2847245,vp9
3295369209,https://cdn4.sharechat.com/2bed4029_1697413756770.mkv,2862518,vp9
3293171277,https://cdn4.sharechat.com/28293818_1697221420082.mkv,1637322,vp9
3293228566,https://cdn4.sharechat.com/32cf4397_1697240420686.mkv,6238937,vp9
3294459792,https://cdn4.sharechat.com/2a5d3d24_1697343328886.mkv,1950570,vp9
3294191519,https://cdn4.sharechat.com/3216d70a_1697307533741.mkv,2467906,vp9
3294647488,https://cdn4.sharechat.com/1b40024_1697352876630.mkv,4018257,vp9
3293405757,https://cdn4.sharechat.com/3a76fa70_1697255521757.mkv,3207476,vp9
3292788372,https://cdn4.sharechat.com/3818dcff_1697195868968.mkv,1746509,vp9
3297308621,https://cdn4.sharechat.com/18806b13_1697563784842.mkv,2057572,vp9
3298239259,https://cdn4.sharechat.com/e7493ed_1697644431532.mkv,2723032,vp9
3293930407,https://cdn4.sharechat.com/37c233_1697289859933.mkv,1676502,vp9
3293268109,https://cdn4.sharechat.com/400b665_1697245918041.mkv,2054524,vp9
3296486636,https://cdn4.sharechat.com/8afbc99_1697509771371.mkv,1689433,vp9
3295083654,https://cdn4.sharechat.com/358a605_1697378665261.mkv,1199473,vp9
3294991575,https://cdn4.sharechat.com/16ebe016_1697373132061.mkv,2957828,vp9
3295784619,https://cdn4.sharechat.com/372e79ad_1697442922915.mkv,2101505,vp9
3293080132,https://cdn4.sharechat.com/2f34331b_1697214362428.mkv,3381921,vp9
